collected_at,city,temperature,feels_like,humidity,pressure,wind_speed,weather
2026-08-19 23:07:23,Seoul,24.76,25.9,100,1014,0.51,온흐림
2026-08-19 23:07:54,Seoul,24.76,25.9,100,1014,0.51,온흐림
2026-08-19 23:07:58,Seoul,24.76,25.9,100,1014,0.51,온흐림
2026-08-19 23:08:02,Seoul,24.76,25.9,100,1014,0.51,온흐림
2026-08-19 23:32:10,Seoul,23.76,24.8,100,1015,0.51,온흐림
2026-08-19 23:32:25,Daegu,25.47,26.4,89,1014,1.03,온흐림
2026-08-19 23:32:57,Daejeon,25.75,26.73,90,1014,0.69,온흐림
2026-08-19 23:33:12,Gwangju,25.12,26.12,93,1014,0.61,온흐림
2026-08-19 23:48:06,Ulsan,25.63,26.62,91,1014,1.44,온흐림
2026-08-20 00:22:12,Busan,25.99,25.99,89,1014,0.51,온흐림
